data_time,latitude5,longitude5,elevation5,wind_speed5,wind_direction5,nacelle_position5,title_of_turbine5,production5
2018-01-01 00:00:00,52.402308,-0.940537,142.901,11.929450988769531,251.60545349121094,257.65899658203125,Kelmarsh 5,2059.292236328125
2018-01-01 01:00:00,52.402308,-0.940537,142.901,8.335668563842773,246.77862548828125,242.2930908203124,Kelmarsh 5,1941.4415283203125
2018-01-01 02:00:00,52.402308,-0.940537,142.901,10.809782028198242,217.79418945312497,222.3661651611328,Kelmarsh 5,1961.3865966796875
2018-01-01 03:00:00,52.402308,-0.940537,142.901,11.068748474121094,217.38102722167966,218.14666748046866,Kelmarsh 5,1972.80322265625
2018-01-01 04:00:00,52.402308,-0.940537,142.901,10.609396934509277,219.15382385253906,226.92718505859366,Kelmarsh 5,1697.6429443359375
2018-01-01 05:00:00,52.402308,-0.940537,142.901,9.629634857177734,222.54736328124994,215.83445739746088,Kelmarsh 5,1315.6104736328125
2018-01-01 06:00:00,52.402308,-0.940537,142.901,10.291964530944824,223.66629028320312,219.24423217773432,Kelmarsh 5,1058.55615234375
2018-01-01 07:00:00,52.402308,-0.940537,142.901,10.30470085144043,208.07481384277335,207.17102050781241,Kelmarsh 5,1568.5992431640625
2018-01-01 08:00:00,52.402308,-0.940537,142.901,8.31381607055664,199.55929565429688,207.17102050781241,Kelmarsh 5,2027.8665771484375
2018-01-01 09:00:00,52.402308,-0.940537,142.901,7.576996803283691,209.10714721679688,204.97589111328122,Kelmarsh 5,2030.3106689453125
2018-01-01 10:00:00,52.402308,-0.940537,142.901,7.579335689544678,206.35990905761713,204.97589111328122,Kelmarsh 5,2056.30810546875
2018-01-01 11:00:00,52.402308,-0.940537,142.901,7.25638484954834,223.67001342773435,222.21519470214844,Kelmarsh 5,2031.343017578125
2018-01-01 12:00:00,52.402308,-0.940537,142.901,5.83262300491333,242.97618103027344,229.39634704589838,Kelmarsh 5,2041.0015869140625
2018-01-01 13:00:00,52.402308,-0.940537,142.901,5.687334060668945,252.44615173339844,246.683349609375,Kelmarsh 5,2029.102783203125
2018-01-01 14:00:00,52.402308,-0.940537,142.901,5.232237339019775,257.7297668457031,246.683349609375,Kelmarsh 5,2041.62744140625
2018-01-01 15:00:00,52.402308,-0.940537,142.901,5.184940338134766,251.63403320312497,258.7565612792969,Kelmarsh 5,1917.4842529296875
2018-01-01 16:00:00,52.402308,-0.940537,142.901,6.371659278869629,246.3396453857422,253.26873779296875,Kelmarsh 5,1957.4267578125
2018-01-01 17:00:00,52.402308,-0.940537,142.901,9.471708297729492,252.17628479003903,253.26873779296875,Kelmarsh 5,2042.056396484375
2018-01-01 18:00:00,52.402308,-0.940537,142.901,8.928186416625977,267.01776123046875,264.4635314941406,Kelmarsh 5,2048.250244140625
2018-01-01 19:00:00,52.402308,-0.940537,142.901,14.06948471069336,280.736083984375,272.14794921875,Kelmarsh 5,2037.74755859375
2018-01-01 20:00:00,52.402308,-0.940537,142.901,10.653504371643066,285.8494873046875,295.7077331542969,Kelmarsh 5,2037.21142578125
2018-01-01 21:00:00,52.402308,-0.940537,142.901,11.684868812561035,285.5763244628906,289.98672485351557,Kelmarsh 5,2050.1982421875
2018-01-01 22:00:00,52.402308,-0.940537,142.901,9.002325057983398,276.8434143066406,280.5794372558594,Kelmarsh 5,2048.832275390625
2018-01-01 23:00:00,52.402308,-0.940537,142.901,9.281408309936523,270.60418701171875,276.3175964355469,Kelmarsh 5,2013.011962890625
2018-01-02 00:00:00,52.402308,-0.940537,142.901,6.793475151062012,255.56095886230463,262.04925537109375,Kelmarsh 5,1982.9227294921875
2018-01-02 01:00:00,52.402308,-0.940537,142.901,7.160218715667725,265.095489501953,262.04925537109375,Kelmarsh 5,1883.6290283203125
2018-01-02 02:00:00,52.402308,-0.940537,142.901,8.589028358459473,259.71936035156244,262.04925537109375,Kelmarsh 5,1527.029541015625
2018-01-02 03:00:00,52.402308,-0.940537,142.901,8.661492347717285,256.8221435546875,262.04925537109375,Kelmarsh 5,1494.5250244140625
2018-01-02 04:00:00,52.402308,-0.940537,142.901,9.00046157836914,251.58090209960935,253.7425079345703,Kelmarsh 5,1393.2081298828125
2018-01-02 05:00:00,52.402308,-0.940537,142.901,3.9458374977111816,233.98547363281244,249.97604370117188,Kelmarsh 5,1729.1400146484375
2018-01-02 06:00:00,52.402308,-0.940537,142.901,6.359871864318848,226.76382446289062,232.34513854980466,Kelmarsh 5,1927.8780517578125
2018-01-02 07:00:00,52.402308,-0.940537,142.901,6.228096961975098,229.8590393066406,233.5125732421874,Kelmarsh 5,1752.309814453125
2018-01-02 08:00:00,52.402308,-0.940537,142.901,6.533115863800049,203.03150939941406,208.26858520507812,Kelmarsh 5,1635.63671875
2018-01-02 09:00:00,52.402308,-0.940537,142.901,8.576048851013184,208.67919921875,208.26858520507812,Kelmarsh 5,1551.41259765625
2018-01-02 10:00:00,52.402308,-0.940537,142.901,5.5555219650268555,191.10252380371088,192.90267944335938,Kelmarsh 5,1510.644775390625
2018-01-02 11:00:00,52.402308,-0.940537,142.901,4.974979400634766,183.1221466064453,192.90267944335938,Kelmarsh 5,1928.863525390625
2018-01-02 12:00:00,52.402308,-0.940537,142.901,7.638104438781738,163.48863220214844,162.17086791992188,Kelmarsh 5,1283.1610107421875
2018-01-02 13:00:00,52.402308,-0.940537,142.901,6.773890018463135,187.43011474609372,177.69949340820312,Kelmarsh 5,1600.199462890625
2018-01-02 14:00:00,52.402308,-0.940537,142.901,10.357904434204102,211.93991088867182,203.87832641601562,Kelmarsh 5,1664.7794189453125
2018-01-02 15:00:00,52.402308,-0.940537,142.901,10.302624702453613,242.69218444824216,243.39065551757804,Kelmarsh 5,1871.271240234375
2018-01-02 16:00:00,52.402308,-0.940537,142.901,6.674473285675049,254.49063110351562,243.39065551757804,Kelmarsh 5,1796.54931640625
2018-01-02 17:00:00,52.402308,-0.940537,142.901,9.766529083251953,225.36474609375,240.0979614257812,Kelmarsh 5,1947.3045654296875
2018-01-02 18:00:00,52.402308,-0.940537,142.901,10.187713623046875,216.02311706542963,218.23406982421872,Kelmarsh 5,2014.491943359375
2018-01-02 19:00:00,52.402308,-0.940537,142.901,10.493906021118164,205.83595275878903,204.97589111328122,Kelmarsh 5,1723.7353515625
2018-01-02 20:00:00,52.402308,-0.940537,142.901,12.09147834777832,192.21484374999997,198.3905029296875,Kelmarsh 5,1821.639892578125
2018-01-02 21:00:00,52.402308,-0.940537,142.901,13.027704238891602,191.83767700195304,195.75709533691406,Kelmarsh 5,1728.4459228515625
2018-01-02 22:00:00,52.402308,-0.940537,142.901,9.265348434448242,207.28056335449213,203.87832641601562,Kelmarsh 5,1573.275634765625
2018-01-02 23:00:00,52.402308,-0.940537,142.901,12.517631530761719,249.14556884765625,244.48822021484375,Kelmarsh 5,1200.8773193359375
2018-01-03 00:00:00,52.402308,-0.940537,142.901,12.972838401794434,258.76214599609375,259.85412597656244,Kelmarsh 5,812.5641479492188
2018-01-03 01:00:00,52.402308,-0.940537,142.901,14.69253921508789,260.8184204101562,265.0790100097656,Kelmarsh 5,500.55584716796875
2018-01-03 02:00:00,52.402308,-0.940537,142.901,17.470657348632812,259.1253662109375,253.5979919433594,Kelmarsh 5,729.3675537109375
